DATE,0.25Y,0.50Y,0.75Y,1.00Y,2.00Y,3.00Y,5.00Y,7.00Y,10.00Y,12.00Y,15.00Y,20.00Y,25.00Y,30.00Y
20230103,0.11939481322649,0.10368546967019,0.0750620497218999,0.0444591928080698,-0.0366705210885603,-0.0599216224192602,-0.06460984693754,-0.0693394540889498,-0.0800321906353401,-0.0862566609163,-0.0927958778990101,-0.0969126449682101,-0.0952216215753601,-0.09036694214773
20230104,0.08859988500612,0.0950350598598702,0.0690339516580099,0.0341436237015103,-0.0632748142803199,-0.08831113639468,-0.0881821728031,-0.0856198428065302,-0.08385726473696,-0.08229554421463,-0.0788364142591602,-0.07096861676429,-0.06214170092696,-0.0535881956324702
20230105,0.0796494456158499,0.0422704544405201,0.03042299394335,0.0306979807544301,0.05533918670268,0.0685745441793801,0.0710553337658602,0.06686415575399,0.0613783031661401,0.0591631953345502,0.0574539809196,0.0565965410670501,0.0558936507904901,0.0542620647932002
20230106,-0.03689467081103,0.00810756530105961,0.02079189602633,0.0183664294556398,-0.0187845717040798,-0.0397552832579899,-0.0501836591826201,-0.0511218409012399,-0.0514512513853802,-0.0522279475190901,-0.0538591296647697,-0.0559268311707002,-0.0555796791351599,-0.05256554175942
20230109,0.10775099497698,0.0470663199026,0.00184358573170007,-0.0276400896232598,-0.0512495430478004,-0.0317979067877401,-0.01001198579596,-0.00837000851353009,-0.0147558993881098,-0.0193353535890002,-0.02459219978389,-0.0289452721573897,-0.02958951253874,-0.0283621345631002
20230110,-0.0199926545934699,-0.0282677580153399,-0.0133122426998398,0.00637235631861,0.0482069502365703,0.0456103870904299,0.0254516216759702,0.0143897686418502,0.00964382310153988,0.0107684395244703,0.01557310191818,0.0262739346977798,0.0360289631486896,0.0431682620677001
20230111,0.00479179892506965,0.0180732275383102,0.0170376594697199,0.00980205342458973,-0.0258354874714799,-0.0489499586365598,-0.0734432730358501,-0.0863843292654098,-0.0955717060487098,-0.09758223059867,-0.0969220768349999,-0.0906951972933601,-0.0822803500273897,-0.07401292925453
20230112,0.0421353200752703,-0.00743232394502025,-0.0354107003468402,-0.0498940796151497,-0.0553384291809103,-0.0476669666669203,-0.0474032360438499,-0.0539582522769599,-0.0598603650189702,-0.0596947874375102,-0.0545624549808204,-0.0385368950816201,-0.0196893416030299,-0.00214178565737999
20230113,0.0045977341547796,0.00571340629351003,0.00173047552767036,-0.00345468351141998,-0.0175032745687398,-0.0221957961230599,-0.02608229521327,-0.0292506285348702,-0.0333045095253497,-0.0355012657043301,-0.0381203803375798,-0.04105794563504,-0.0427356295873103,-0.0435999726251
20230116,-0.10166508650558,-0.0556420158862401,-0.0229778356579904,-0.0021414910825901,0.0156072590034699,0.0052838333994103,-0.0010160543965001,0.00799133433234012,0.0279873145105798,0.0411235402331203,0.0585780125861102,0.0810419049859603,0.0965292057346199,0.10693632848581
20230117,0.05383489562126,0.0389243070645402,0.0216757543124002,0.0071872155046897,-0.0153997134280299,-0.0129107069859402,-0.00627935991705009,-0.00656273058486034,-0.0115113014012098,-0.0155389424379,-0.0214767722381803,-0.0301102012536303,-0.0369685950592897,-0.0423161979743099
20230118,0.0462996447575801,-0.0354263302053299,-0.0887173459621202,-0.11944310147088,-0.13388862994806,-0.11363019193876,-0.10652468197127,-0.12308975342346,-0.15448158128092,-0.17324678089492,-0.19588663252011,-0.21985505361244,-0.23079269365285,-0.23321193598252
20230119,-0.0181701824932201,0.0615895389522598,0.10068976073583,0.11528217489298,0.08912914662498,0.05488667413118,0.03346068887855,0.0379901515648102,0.0548548373527003,0.0661790190877598,0.0803163740590702,0.0949760082813203,0.1000566312858,0.09821491412328
20230120,0.0205719192193401,0.0428960026778702,0.05527369968339,0.0618705478069299,0.0685416477775203,0.0719771585671203,0.08423503931692,0.0964531650020599,0.10889880327444,0.11331015061319,0.11541210985375,0.11110175620461,0.10200544292914,0.09160986775376
20230123,-0.0104695508510799,-0.01988714777392,-0.0185425281331102,-0.0131435356698097,0.00911561028806984,0.0210713051392899,0.0327495220197602,0.0394459040247801,0.04565012809095,0.0482176031220902,0.05050411212309,0.0515759330991301,0.0506409420880303,0.0486748674709698
20230124,-0.0316082488869802,-0.0445282354503203,-0.0354740025122902,-0.0204783190073301,0.0179617870115201,0.0216000993606,0.0107894957219496,0.00277628072836,-0.00285592417208003,-0.00386586252198029,-0.00289880262486975,0.00205600059114985,0.00809243159498996,0.0134405250618799
20230125,0.02701390058734,0.0284734886007803,0.00457305143469,-0.0233714094447599,-0.0852127535882001,-0.0922533634585299,-0.0839498877754599,-0.0790245836749604,-0.0755677063825697,-0.0740784604770601,-0.0721020148730203,-0.0687003650798199,-0.0649810207764801,-0.0610932886934199
20230126,0.0469053016043501,0.0182140363457499,0.0124220378092601,0.0165131011828699,0.04636711368605,0.0623283013210898,0.07058231566569,0.0693482009056603,0.0631692317856101,0.0583039830348704,0.0509973684598899,0.0398133921278001,0.0302190123591499,0.0221092421599103
20230127,-0.0044360248703299,0.0142834271923697,0.0260705919108202,0.0331101369260303,0.0409904211766001,0.0427610359147002,0.0500893781271401,0.05813963292794,0.0662637870258398,0.0688957322980497,0.0696231578213999,0.06548175087481,0.05842729539446,0.0510138537593599
20230130,0.0342872795124696,0.0235149732908404,0.0308731968729501,0.0429673291163799,0.07245472089128,0.0728173203104299,0.0580545020028098,0.04462456306489,0.0287453473708199,0.0202592473772003,0.00990642301619005,-0.00264270381906995,-0.0111098057401899,-0.0168749441829101
